浙江省普通高等学校名单,,,,,,,,
序号,学校名称,学校标识码,主管部门,省份,所在地,办学层次,负责人,备注
82,杭州职业技术学院,4133012872,浙江省,浙江省,杭州市,专科,,
83,嘉兴职业技术学院,4133012874,浙江省,浙江省,嘉兴市,专科,,
84,湖州职业技术学院,4133012875,浙江省,浙江省,湖州市,专科,,
85,绍兴职业技术学院,4133012876,浙江省教育厅,浙江省,绍兴市,专科,,
86,衢州职业技术学院,4133012877,浙江省,浙江省,衢州市,专科,,
87,丽水职业技术学院,4133012878,浙江省,浙江省,丽水市,专科,,
88,浙江东方职业技术学院,4133013002,浙江省教育厅,浙江省,温州市,专科,,
89,义乌工商职业技术学院,4133013003,浙江省,浙江省,金华市,专科,,
90,浙江纺织服装职业技术学院,4133013025,浙江省,浙江省,宁波市,专科,,
91,杭州科技职业技术学院,4133013026,浙江省,浙江省,杭州市,专科,,
92,浙江长征职业技术学院,4133013027,浙江省教育厅,浙江省,杭州市,专科,,
93,嘉兴南洋职业技术学院,4133013028,浙江省教育厅,浙江省,嘉兴市,专科,,
94,浙江广厦建设职业技术学院,4133013029,浙江省教育厅,浙江省,金华市,专科,,
95,杭州万向职业技术学院,4133013030,浙江省教育厅,浙江省,杭州市,专科,,
96,浙江邮电职业技术学院,4133013688,浙江省,浙江省,绍兴市,专科,,
97,宁波卫生职业技术学院,4133013742,浙江省,浙江省,宁波市,专科,,
98,台州科技职业学院,4133013746,浙江省,浙江省,台州市,专科,,
99,浙江国际海运职业技术学院,4133013853,浙江省,浙江省,舟山市,专科,,
100,浙江体育职业技术学院,4133013854,浙江省,浙江省,杭州市,专科,,
101,温州科技职业学院,4133014088,浙江省,浙江省,温州市,专科,,
102,浙江汽车职业技术学院,4133014089,浙江省教育厅,浙江省,台州市,专科,,
103,浙江横店影视职业学院,4133014090,浙江省教育厅,浙江省,金华市,专科,,
104,浙江农业商贸职业学院,4133014269,浙江省,浙江省,绍兴市,专科,,
105,浙江特殊教育职业学院,4133014431,浙江省,浙江省,杭州市,专科,,
106,浙江安防职业技术学院,4133014492,浙江省,浙江省,温州市,专科,,
107,浙江舟山群岛新区旅游与健康职业学院,4133016408,浙江省,浙江省,舟山市,专科,,
108,宁波幼儿师范高等专科学校,4233050559,浙江省,浙江省,宁波市,专科,,
